Time BloodFlow 	Volume hart
1.23	-5.9	-1.66	-0.013
1.235	-6.1	-1.69	0.072
1.24	-6.1	-1.71	0.118
1.245	-6.0	-1.73	0.114
1.25	-5.9	-1.75	0.083
1.255	-6.2	-1.77	0.076
1.26	-6.4	-1.80	0.064
1.265	-6.3	-1.82	0.054
1.27	-6.4	-1.84	0.089
1.275	-6.7	-1.87	0.081
1.28	-6.8	-1.89	0.069
1.285	-6.9	-1.92	0.059
1.29	-7.1	-1.94	0.066
1.295	-7.0	-1.97	0.080
1.3	-6.8	-1.99	0.072
1.305	-6.6	-2.01	0.066
1.31	-6.3	-2.03	0.092
1.315	-6.8	-2.06	0.123
1.32	-7.3	-2.09	0.094
1.325	-7.6	-2.11	0.058
1.33	-7.8	-2.14	0.098
1.335	-7.7	-2.17	0.143
1.34	-7.0	-2.19	0.133
1.345	-6.2	-2.21	0.109
1.35	-6.1	-2.23	0.117
1.355	-6.5	-2.25	0.143
1.36	-6.8	-2.28	0.138
1.365	-6.6	-2.30	0.122
1.37	-6.8	-2.32	0.120
1.375	-6.6	-2.34	0.131
1.38	-6.7	-2.36	0.132
1.385	-6.8	-2.39	0.146
1.39	-6.8	-2.41	0.144
1.395	-6.5	-2.43	0.156
1.4	-6.1	-2.45	0.174
1.405	-5.8	-2.46	0.178
1.41	-4.7	-2.47	0.164
1.415	-2.9	-2.48	0.194
1.42	-0.3	-2.47	0.210
1.425	3.2	-2.44	0.223
1.43	7.5	-2.39	0.219
1.435	12.0	-2.32	0.226
1.44	16.7	-2.22	0.271
1.445	21.5	-2.10	0.256
1.45	25.8	-1.96	0.284
1.455	29.5	-1.81	0.302
1.46	32.8	-1.63	0.347
1.465	36.0	-1.44	0.373
1.47	38.4	-1.25	0.355
1.475	39.8	-1.04	0.328
1.48	40.5	-0.83	0.333
1.485	40.4	-0.63	0.321
1.49	39.8	-0.42	0.328
1.495	39.3	-0.23	0.314
1.5	38.2	-0.03	0.283
1.505	35.9	0.15	0.252
1.51	33.0	0.31	0.219
1.515	29.6	0.46	0.196
1.52	25.8	0.58	0.144
1.525	22.0	0.69	0.124
1.53	18.1	0.78	0.120
1.535	13.8	0.84	0.113
1.54	9.5	0.89	0.109
1.545	5.4	0.91	0.078
1.55	1.6	0.91	0.046
1.555	-2.1	0.90	0.036
1.56	-5.5	0.86	0.028
1.565	-8.4	0.82	0.010
1.57	-10.9	0.76	0.011
1.575	-13.0	0.69	-0.002
1.58	-14.6	0.61	0.002
1.585	-15.9	0.53	0.027
1.59	-17.0	0.44	0.028
1.595	-17.5	0.35	0.045
1.6	-17.8	0.26	0.055
1.605	-17.9	0.17	0.025
1.61	-17.4	0.08	0.007
1.615	-16.7	0.00	0.034
1.62	-16.1	-0.08	0.031
1.625	-15.7	-0.16	0.033
1.63	-15.1	-0.23	0.027
1.635	-14.6	-0.30	0.020
1.64	-14.4	-0.37	0.023
1.645	-13.6	-0.44	0.028
1.65	-12.4	-0.50	0.031
1.655	-11.2	-0.55	0.049
1.66	-9.8	-0.60	0.039
1.665	-8.3	-0.64	0.033
1.67	-6.3	-0.67	0.013
1.675	-3.8	-0.68	0.010
1.68	-1.3	-0.69	0.041
1.685	1.5	-0.67	0.063
1.69	5.4	-0.64	0.040
1.695	9.6	-0.59	0.028
1.7	14.1	-0.52	0.026
1.705	16.8	-0.43	0.023
1.71	15.0	-0.36	0.023
1.715	13.1	-0.29	0.022
1.72	10.5	-0.24	0.011
1.725	8.2	-0.19	0.022
1.73	7.4	-0.16	0.027
1.735	7.0	-0.12	0.059
1.74	6.3	-0.09	0.059
1.745	5.4	-0.06	0.034
1.75	4.4	-0.04	0.007
1.755	3.4	-0.02	-0.002
1.76	2.7	-0.01	-0.010
1.765	1.7	0.00	0.000
1.77	0.4	0.00	0.007
1.775	-0.6	0.00	0.003
1.78	-1.4	-0.01	0.008
1.785	-2.6	-0.02	0.026
1.79	-4.1	-0.04	0.025
1.795	-5.5	-0.07	-0.004
1.8	-6.8	-0.10	0.004
1.805	-8.0	-0.14	0.041
1.81	-8.9	-0.18	0.034
1.815	-9.5	-0.23	0.017
1.82	-10.1	-0.28	0.030
1.825	-10.5	-0.33	0.060
1.83	-10.9	-0.38	0.066
1.835	-11.2	-0.44	0.016
1.84	-12.1	-0.50	0.006
1.845	-12.0	-0.55	0.033
1.85	-12.4	-0.61	0.005
1.855	-12.6	-0.67	0.011
1.86	-12.7	-0.73	0.010
1.865	-12.9	-0.79	0.018
1.87	-13.3	-0.86	0.036
1.875	-13.6	-0.92	0.036
1.88	-13.3	-0.98	0.034
1.885	-12.9	-1.04	0.022
1.89	-12.3	-1.10	0.017
1.895	-11.6	-1.15	0.054
1.9	-11.0	-1.20	0.054
1.905	-10.6	-1.25	0.054
1.91	-10.2	-1.29	0.074
1.915	-9.9	-1.34	0.073
1.92	-9.7	-1.38	0.049
1.925	-9.5	-1.42	0.052
1.93	-9.0	-1.46	0.078
1.935	-8.7	-1.49	0.064
1.94	-8.4	-1.53	0.043
1.945	-7.9	-1.56	0.026
1.95	-7.5	-1.59	0.033
1.955	-7.1	-1.62	0.036
1.96	-6.8	-1.64	0.017
1.965	-6.5	-1.67	0.019
1.97	-6.4	-1.69	0.051
1.975	-6.3	-1.71	0.021
1.98	-6.0	-1.73	0.021
1.985	-5.7	-1.75	0.051
1.99	-5.1	-1.77	0.043
1.995	-4.9	-1.79	0.024
2	-4.7	-1.80	0.037
2.005	-4.8	-1.82	0.016
2.01	-4.8	-1.83	0.004
2.015	-5.0	-1.85	-0.002
2.02	-5.5	-1.87	0.012
2.025	-5.7	-1.88	0.043
2.03	-5.7	-1.90	0.033
2.035	-5.8	-1.92	0.028
2.04	-5.9	-1.94	0.023
2.045	-5.7	-1.96	0.057
2.05	-5.5	-1.98	0.173
2.055	-5.6	-2.00	0.319
2.06	-5.5	-2.01	0.453
2.065	-5.3	-2.03	0.504
2.07	-5.2	-2.05	0.401
2.075	-5.3	-2.06	0.206
2.08	-5.2	-2.08	-0.076
2.085	-5.3	-2.10	-0.188
2.09	-5.5	-2.11	-0.141
2.095	-5.4	-2.13	-0.045
2.1	-5.4	-2.14	0.042
2.105	-5.5	-2.16	0.096
2.11	-5.6	-2.18	0.107
2.115	-5.7	-2.20	0.103
2.12	-5.9	-2.21	0.087
2.125	-6.1	-2.23	0.096
2.13	-6.2	-2.25	0.068
2.135	-6.3	-2.27	0.060
2.14	-6.6	-2.30	0.094
2.145	-6.7	-2.32	0.108
2.15	-6.9	-2.34	0.086
2.155	-7.1	-2.36	0.090
2.16	-7.1	-2.39	0.089
2.165	-7.1	-2.41	0.093
2.17	-7.3	-2.44	0.098
2.175	-7.4	-2.46	0.083
2.18	-7.3	-2.49	0.076
2.185	-7.4	-2.51	0.115
2.19	-7.5	-2.54	0.131
2.195	-7.4	-2.56	0.111
2.2	-7.4	-2.58	0.118
2.205	-7.6	-2.61	0.128
2.21	-7.8	-2.64	0.121
2.215	-7.8	-2.66	0.121
2.22	-8.0	-2.69	0.132
2.225	-8.3	-2.72	0.113
2.23	-8.3	-2.74	0.124
2.235	-8.3	-2.77	0.136
2.24	-8.2	-2.80	0.149
2.245	-8.0	-2.82	0.145
2.25	-7.8	-2.85	0.140
2.255	-7.8	-2.87	0.147
2.26	-7.6	-2.90	0.177
2.265	-7.2	-2.92	0.194
2.27	-6.9	-2.94	0.178
2.275	-6.4	-2.96	0.158
2.28	-5.4	-2.97	0.186
2.285	-3.9	-2.97	0.206
2.29	-2.0	-2.97	0.221
2.295	0.8	-2.95	0.230
2.3	4.0	-2.92	0.267
2.305	7.5	-2.86	0.278
2.31	11.3	-2.79	0.283
2.315	15.1	-2.70	0.293
2.32	18.6	-2.60	0.301
2.325	21.8	-2.48	0.328
2.33	24.7	-2.34	0.369
2.335	27.0	-2.19	0.379
2.34	28.8	-2.04	0.379
2.345	30.2	-1.88	0.361
2.35	30.9	-1.71	0.345
2.355	31.1	-1.55	0.348
2.36	30.6	-1.39	0.308
2.365	29.7	-1.23	0.259
2.37	28.2	-1.09	0.233
2.375	26.7	-0.95	0.202
2.38	25.1	-0.82	0.175
2.385	22.6	-0.70	0.158
2.39	19.8	-0.60	0.128
2.395	17.1	-0.51	0.091
2.4	14.3	-0.44	0.103
2.405	11.0	-0.38	0.079
2.41	7.7	-0.34	0.056
2.415	4.5	-0.31	0.048
2.42	1.2	-0.31	0.049
2.425	-2.0	-0.31	0.022
2.43	-5.0	-0.34	0.031
2.435	-7.8	-0.37	0.044
2.44	-9.9	-0.42	0.056
2.445	-11.5	-0.48	0.055
2.45	-12.9	-0.54	0.054
2.455	-14.2	-0.61	0.029
2.46	-14.9	-0.68	0.047
2.465	-15.1	-0.75	0.052
2.47	-15.4	-0.83	0.030
2.475	-15.5	-0.90	0.026
2.48	-15.3	-0.97	0.056
2.485	-15.2	-1.04	0.064
2.49	-15.1	-1.11	0.054
2.495	-14.7	-1.18	0.023
2.5	-14.5	-1.25	0.048
2.505	-14.3	-1.31	0.066
2.51	-13.9	-1.37	0.066
2.515	-13.2	-1.43	0.058
2.52	-12.5	-1.49	0.082
2.525	-11.3	-1.54	0.092
2.53	-9.5	-1.58	0.061
2.535	-7.9	-1.61	0.044
